Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
5	Spectrogram 1	1	62.607001320	63.269101777	93.085	412.234	0.6621	319.149	-85.12	G rupe
6	Spectrogram 1	1	76.030199403	76.463989357	119.681	246.011	0.4338	126.330	-87.46	G rupe
7	Spectrogram 1	1	83.510554787	84.076764832	126.330	445.479	0.5662	319.149	-91.07	G rupe
8	Spectrogram 1	1	99.631087029	100.137936344	126.330	252.660	0.5068	126.330	-87.82	G rupe
9	Spectrogram 1	1	103.288613231	103.841124646	113.032	438.830	0.5525	325.798	-89.22	G rupe
10	Spectrogram 1	1	149.670568330	150.163719015	113.032	259.309	0.4932	146.277	-91.13	G rupe
13	Spectrogram 1	1	173.401399448	173.894550133	126.330	252.660	0.4932	126.330	-87.85	G rupe
14	Spectrogram 1	1	198.018075315	198.671043352	106.383	465.426	0.6530	359.043	-91.03	G rupe
15	Spectrogram 1	1	203.309538781	203.720497685	252.660	385.638	0.4110	132.978	-97.60	G rupe
16	Spectrogram 1	1	210.451984025	210.872075349	126.330	246.011	0.4201	119.681	-93.04	G rupe
17	Spectrogram 1	1	221.922809404	222.589476070	106.383	452.128	0.6667	345.745	-91.54	G rupe
18	Spectrogram 1	1	229.695409590	230.170295435	325.798	432.181	0.4749	106.383	-98.40	G rupe
20	Spectrogram 1	1	234.101010351	234.178635922	126.330	259.309	0.0776	132.979	-91.88	G rupe
21	Spectrogram 1	1	239.529056184	240.058736550	272.606	545.213	0.5297	272.607	-98.94	G rupe
22	Spectrogram 1	1	248.703481843	249.219463579	132.979	252.660	0.5160	119.681	-92.51	G rupe
23	Spectrogram 1	1	248.032248967	248.479737551	325.798	465.426	0.4475	139.628	-101.11	G rupe
25	Spectrogram 1	1	255.565316620	256.519654520	87.649	1988.032	0.9543	1900.383	-80.80	G rupe
26	Spectrogram 1	1	257.432509540	258.007852006	126.330	445.479	0.5753	319.149	-95.79	G rupe
