Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	139.054770132	139.162683802	93.085	787.149	0.1079	694.064	-89.96	Type 4 A
2	Spectrogram 1	1	136.424374449	136.953196597	84.337	437.751	0.5288	353.414	-86.62	Rupe C
3	Spectrogram 1	1	141.637244204	142.016353520	175.202	363.881	0.3791	188.679	-89.74	Moan
4	Spectrogram 1	1	176.545923600	176.796172233	164.474	323.450	0.2502	158.976	-90.56	Moan
5	Spectrogram 1	1	210.555519598	211.194789004	131.579	485.175	0.6393	353.596	-92.38	Moan
6	Spectrogram 1	1	211.578350648	212.582916858	157.895	606.469	1.0046	448.574	-89.96	Moan
7	Spectrogram 1	1	229.704284602	230.069581405	175.202	377.358	0.3653	202.156	-92.33	Moan
8	Spectrogram 1	1	258.292248725	259.342834848	144.737	348.684	1.0506	203.947	-91.25	Moan
9	Spectrogram 1	1	276.556690978	277.293637147	161.725	618.421	0.7369	456.696	-95.99	Moan
10	Spectrogram 1	1	282.883410016	283.266971660	161.725	377.358	0.3836	215.633	-94.70	Moan
11	Spectrogram 1	1	297.180269846	297.850233875	171.053	336.927	0.6700	165.874	-94.36	Moan
12	Spectrogram 1	1	339.732884407	340.218499531	148.248	323.450	0.4856	175.202	-95.23	Moan
13	Spectrogram 1	1	343.172646974	343.865093017	144.737	342.105	0.6924	197.368	-93.82	Moan
14	Spectrogram 1	1	346.923330363	347.344986189	107.817	309.973	0.4217	202.156	-91.06	Moan
15	Spectrogram 1	1	348.023943024	348.722417121	161.725	566.038	0.6985	404.313	-92.64	Moan
16	Spectrogram 1	1	349.800042692	350.338855478	175.202	363.881	0.5388	188.679	-95.47	Moan
17	Spectrogram 1	1	351.261229907	352.055750455	177.632	350.404	0.7945	172.772	-93.31	Moan
18	Spectrogram 1	1	353.197302966	353.836572373	164.474	323.450	0.6393	158.976	-91.18	Moan
19	Spectrogram 1	1	370.752063789	371.053433652	188.679	404.313	0.3014	215.634	-93.56	Moan
20	Spectrogram 1	1	398.630556530	399.041515434	148.248	323.450	0.4110	175.202	-89.48	Moan
21	Spectrogram 1	1	501.325055170	502.274826859	161.725	296.496	0.9498	134.771	-91.70	Moan
22	Spectrogram 1	1	498.786242384	498.996288046	175.202	323.450	0.2100	148.248	-95.22	Moan
23	Spectrogram 1	1	523.642367871	524.002080101	175.202	355.263	0.3597	180.061	-85.37	Moan
24	Spectrogram 1	1	614.271048289	614.755066554	134.771	512.129	0.4840	377.358	-88.57	Moan
25	Spectrogram 1	1	683.647551345	684.398275307	148.248	404.313	0.7507	256.065	-93.71	Moan
