Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4.054793365	4.429222589	79.787	425.532	0.3744	345.745	-77.94	Rupe B
2	Spectrogram 1	1	5.452053639	5.680364142	53.191	385.638	0.2283	332.447	-87.56	Rupe B
3	Spectrogram 1	1	7.470318480	7.817350443	66.489	505.319	0.3470	438.830	-87.35	Rupe A
4	Spectrogram 1	1	8.310501128	8.575341311	53.191	412.234	0.2648	359.043	-83.40	Rupe A
5	Spectrogram 1	1	10.036528525	10.146117566	79.787	438.830	0.1096	359.043	-86.66	Rupe A
6	Spectrogram 1	1	12.319628868	12.474880009	53.191	412.234	0.1553	359.043	-87.91	Rupe A
7	Spectrogram 1	1	12.913236174	13.150679096	53.191	425.532	0.2374	372.341	-87.12	Rupe A
8	Spectrogram 1	1	13.506843480	13.735153982	66.489	412.234	0.2283	345.745	-86.77	Rupe A
9	Spectrogram 1	1	14.803647133	14.904103754	66.489	438.830	0.1005	372.341	-85.81	Rupe A
10	Spectrogram 1	1	16.091318366	16.310496448	79.787	492.021	0.2192	412.234	-86.24	Rupe A
11	Spectrogram 1	1	18.794514713	18.940633434	66.489	398.936	0.1461	332.447	-85.62	Rupe A
12	Spectrogram 1	1	20.401815968	20.630126471	53.191	465.426	0.2283	412.235	-87.34	Rupe A
13	Spectrogram 1	1	27.397246613	27.488570814	73.846	558.511	0.0913	484.665	-78.73	Rupe A
14	Spectrogram 1	1	29.872132458	29.954324238	66.489	345.745	0.0822	279.256	-84.85	Rupe A
15	Spectrogram 1	1	30.611858485	30.776242047	66.489	412.234	0.1644	345.745	-87.52	Rupe A
16	Spectrogram 1	1	32.811607735	32.964485432	79.787	406.154	0.1529	326.367	-85.49	Rupe A
17	Spectrogram 1	1	71.245108710	71.344727645	66.489	398.936	0.0996	332.447	-86.76	Rupe A
18	Spectrogram 1	1	73.308197965	73.636965088	79.787	398.936	0.3288	319.149	-89.95	Rupe B
19	Spectrogram 1	1	75.344727645	75.618700248	53.191	332.447	0.2740	279.256	-79.81	Rupe B
20	Spectrogram 1	1	297.206193523	298.024538847	95.628	296.296	0.8183	200.668	-94.54	G rupe
21	Spectrogram 1	1	503.524904391	503.776702952	300.546	601.562	0.2518	301.016	-99.03	unidentified
22	Spectrogram 1	1	538.928379864	538.992306805	54.645	327.869	0.0639	273.224	-95.53	Rupe A
23	Spectrogram 1	1	540.097329636	540.179521417	81.967	423.497	0.0822	341.530	-94.84	Rupe A
24	Spectrogram 1	1	541.356900912	541.433339760	81.967	409.231	0.0764	327.264	-96.25	Rupe A
25	Spectrogram 1	1	541.842512422	542.069932376	76.923	326.154	0.2274	249.231	-94.11	Rupe A
26	Spectrogram 1	1	544.387476451	544.663539682	95.628	455.385	0.2761	359.757	-95.06	Rupe A
27	Spectrogram 1	1	546.554951481	546.746732303	109.290	245.902	0.1918	136.612	-97.02	Rupe A
28	Spectrogram 1	1	547.742166093	548.016138696	54.645	314.208	0.2740	259.563	-92.77	Rupe B
29	Spectrogram 1	1	613.884755216	613.966946996	109.290	355.191	0.0822	245.901	-98.62	Rupe A
30	Spectrogram 1	1	674.559949439	674.672359511	68.306	368.852	0.1124	300.546	-95.14	Rupe A
31	Spectrogram 1	1	691.280236164	691.371560365	54.645	273.224	0.0913	218.579	-92.19	Rupe A
32	Spectrogram 1	1	691.941901173	692.207188943	68.306	486.154	0.2653	417.848	-94.12	Rupe B
33	Spectrogram 1	1	756.805863200	756.860657720	95.628	403.005	0.0548	307.377	-99.79	Rupe A
34	Spectrogram 1	1	757.344675985	757.422301556	81.967	478.142	0.0776	396.175	-89.31	Rupe A
35	Spectrogram 1	1	885.033946695	885.184631627	76.923	541.538	0.1507	464.615	-92.07	Rupe A
36	Spectrogram 1	1	885.814768613	886.075042586	81.967	321.038	0.2603	239.071	-88.00	Rupe B
37	Spectrogram 1	1	886.741709252	887.011115645	88.798	375.683	0.2694	286.885	-88.47	Rupe B
38	Spectrogram 1	1	888.914500643	889.174774616	61.475	396.175	0.2603	334.700	-88.82	Rupe B
39	Spectrogram 1	1	908.491038578	908.669120770	102.459	280.055	0.1781	177.596	-88.48	Rupe A
40	Spectrogram 1	1	909.139440404	909.299257756	68.306	293.716	0.1598	225.410	-90.73	Rupe A
41	Spectrogram 1	1	909.956792003	910.125741774	95.628	334.699	0.1689	239.071	-91.17	Rupe A
42	Spectrogram 1	1	928.800726732	929.147758696	47.814	314.208	0.3470	266.394	-84.59	Rupe B
43	Spectrogram 1	1	1045.177438870	1045.300726542	77.279	289.798	0.1233	212.519	-93.15	Rupe A
44	Spectrogram 1	1	1151.581931780	1151.837639543	115.919	482.996	0.2557	367.077	-99.11	Rupe A
45	Spectrogram 1	1	1179.857191665	1180.026141437	115.919	463.677	0.1689	347.758	-95.79	Rupe A
46	Spectrogram 1	1	298.330294242	298.447200717	98.765	283.951	0.1169	185.186	-92.34	G rupe
47	Spectrogram 1	1	298.937308631	299.139646760	86.420	261.538	0.2023	175.118	-91.94	G rupe
