Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	334.330492819	334.522273641	66.489	372.340	0.1918	305.851	-91.47	Rupe A
2	Spectrogram 1	1	334.942364965	335.152410627	53.191	438.830	0.2100	385.639	-90.96	Rupe A
3	Spectrogram 1	1	407.487391986	407.825291529	52.288	412.234	0.3379	359.946	-90.11	Rupe B
4	Spectrogram 1	1	408.154058652	408.473693355	53.191	398.936	0.3196	345.745	-91.82	Rupe B
5	Spectrogram 1	1	463.759046258	463.932562240	79.787	359.043	0.1735	279.256	-94.43	Rupe A
6	Spectrogram 1	1	464.407448084	464.717950368	66.489	359.043	0.3105	292.554	-91.22	Rupe B
7	Spectrogram 1	1	467.083247171	467.384617034	53.191	465.426	0.3014	412.235	-90.52	Rupe B
8	Spectrogram 1	1	494.879528678	495.062177079	53.191	478.723	0.1826	425.532	-84.03	Rupe A
9	Spectrogram 1	1	593.807869131	593.880928492	39.894	418.883	0.0731	378.989	-79.85	Rupe A
10	Spectrogram 1	1	595.040745843	595.259923925	53.191	378.989	0.2192	325.798	-86.25	Rupe A
11	Spectrogram 1	1	595.867229861	596.077275524	66.489	438.830	0.2100	372.341	-85.92	Rupe A
12	Spectrogram 1	1	602.716705200	602.929673473	53.191	300.654	0.2130	247.463	-86.33	Type 4 A
13	Spectrogram 1	1	605.815516799	606.043827301	59.840	385.638	0.2283	325.798	-83.28	Type 4 A
14	Spectrogram 1	1	868.365178680	868.671114753	39.894	511.968	0.3059	472.074	-80.41	Rupe A
15	Spectrogram 1	1	869.607187812	869.947070700	39.894	485.372	0.3399	445.478	-81.46	Type 4 A
16	Spectrogram 1	1	936.554405884	936.659428715	73.138	398.936	0.1050	325.798	-97.94	Rupe A
17	Spectrogram 1	1	937.001894469	937.298698122	62.092	438.830	0.2968	376.738	-86.84	Rupe B
18	Spectrogram 1	1	937.536141044	937.682259766	55.556	425.532	0.1461	369.976	-96.16	Rupe A
19	Spectrogram 1	1	938.239337391	938.335227802	55.556	365.691	0.0959	310.135	-95.97	Rupe A
20	Spectrogram 1	1	938.558972094	938.846643327	53.191	219.415	0.2877	166.224	-89.98	Rupe B
21	Spectrogram 1	1	1096.751899286	1097.135460930	66.489	412.234	0.3836	345.745	-91.02	Rupe B
22	Spectrogram 1	1	1101.160039752	1101.420313724	93.085	392.287	0.2603	299.202	-93.27	Rupe A
